Optimizer,Loss Function,Gamma,Alpha,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,SFCE,1.0,0.35,0.4,0.001,50,0.018779410049319267,0.9752723,0.5653963,0.676501,0.6159786581993103,0.70991826,0.969977080821991,175460.0,83904.0,8453125.0,134871.0
Adam,SFCE,1.0,0.4,0.4,0.001,50,0.0181757602840662,0.9756525,0.5423886,0.6963429,0.609798789024353,0.70691055,0.9680363535881042,168320.0,73400.0,8463629.0,142011.0
Adam,SFCE,1.0,0.45,0.4,0.001,50,0.018218226730823517,0.97390354,0.66754854,0.61862004,0.6421536207199097,0.7230993,0.9753637909889221,207161.0,127715.0,8409314.0,103170.0
Adam,SFCE,1.0,0.5,0.4,0.001,50,0.01600838452577591,0.97216964,0.64510477,0.5953147,0.6192104816436768,0.709986,0.9768583178520203,200196.0,136090.0,8400939.0,110135.0
Adam,SFCE,1.0,0.55,0.4,0.001,50,0.02019885554909706,0.97742593,0.6599051,0.68498635,0.6722118258476257,0.74157774,0.9702370166778564,204789.0,94179.0,8442850.0,105542.0
Adam,SFCE,1.0,0.6,0.4,0.001,50,0.02325998805463314,0.97434026,0.640935,0.6324509,0.636664628982544,0.72037023,0.9581252932548523,198902.0,115592.0,8421437.0,111429.0
Adam,SFCE,1.0,0.65,0.4,0.001,50,0.01607930101454258,0.9652686,0.7613387,0.5032483,0.6059565544128418,0.6994957,0.9775822162628174,236267.0,233217.0,8303812.0,74064.0
Adam,SFCE,1.0,0.7,0.4,0.001,50,0.019287552684545517,0.9715885,0.7401001,0.57363355,0.6463201642036438,0.7241428,0.9725874662399292,229676.0,170712.0,8366317.0,80655.0
Adam,SFCE,1.0,0.75,0.4,0.001,50,0.01513032615184784,0.96050435,0.81754,0.4642271,0.5921890735626221,0.68999183,0.9781104326248169,253708.0,292809.0,8244220.0,56623.0
Adam,SFCE,1.0,0.8,0.4,0.001,50,0.022290144115686417,0.96833825,0.7482108,0.5347876,0.6237480640411377,0.7103535,0.9629189372062683,232193.0,201985.0,8335044.0,78138.0
Adam,SFCE,1.0,0.85,0.4,0.001,50,0.021084243431687355,0.9644973,0.7744827,0.496105,0.6047984957695007,0.6984952,0.9639097452163696,240346.0,244120.0,8292909.0,69985.0
Adam,SFCE,1.0,0.9,0.4,0.001,50,0.016721870750188828,0.9604734,0.8317828,0.4645673,0.5961630940437317,0.6919771,0.9713054299354553,258127.0,297503.0,8239526.0,52204.0
Adam,SFCE,1.0,0.95,0.4,0.001,50,0.013080578297376633,0.945689,0.8798219,0.3812021,0.5319327116012573,0.65314746,0.9701777100563049,273036.0,443214.0,8093815.0,37295.0
Adam,SFCE,1.0,1.0,0.4,0.001,50,0.0,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,SFCE,2.0,0.0,0.4,0.001,50,0.021758180111646652,0.97215575,0.71090543,0.5848021,0.6417173147201538,0.72194564,0.9740962982177734,220616.0,156633.0,8380396.0,89715.0
Adam,SFCE,2.0,0.05,0.4,0.001,50,0.002504341071471572,0.9758621,0.36052796,0.881024,0.5116721391677856,0.6596715,0.9784427881240845,111883.0,15109.0,8521920.0,198448.0
Adam,SFCE,2.0,0.1,0.4,0.001,50,0.004237074870616198,0.97838825,0.4622097,0.85505986,0.6000548005104065,0.70332974,0.9792953729629517,143438.0,24314.0,8512715.0,166893.0
Adam,SFCE,2.0,0.15,0.4,0.001,50,0.0058426870964467525,0.9776999,0.4843538,0.8012858,0.6037540435791016,0.70486397,0.9791710376739502,150310.0,37277.0,8499752.0,160021.0
Adam,SFCE,2.0,0.2,0.4,0.001,50,0.006425071973353624,0.97994655,0.60047174,0.77715313,0.6774802207946777,0.74589133,0.9797999262809753,186344.0,53434.0,8483595.0,123987.0
Adam,SFCE,2.0,0.25,0.4,0.001,50,0.009656631387770176,0.976664,0.56131357,0.71239626,0.6278945207595825,0.7169046,0.9687456488609314,174193.0,70324.0,8466705.0,136138.0
Adam,SFCE,2.0,0.3,0.4,0.001,50,0.009747160598635674,0.9766006,0.5852461,0.69872123,0.6369693279266357,0.7217143,0.9669572114944458,181620.0,78312.0,8458717.0,128711.0
