Optimizer,Loss Function,Gamma,Alpha,Threshold,Learning rate,Epochs,Loss,Acc,Precision,Recall,F1-Score,Mean IoU,AUC,TP,FP,TN,FN
Adam,SFCE,1.0,0.4,0.4,0.001,50,0.016017822548747063,0.97952634,0.7167347,0.7046414,0.7106366157531738,0.76507574,0.9788956046104431,222425.0,93232.0,8443797.0,87906.0
Adam,SFCE,1.0,0.45,0.4,0.001,50,0.017914919182658195,0.9787922,0.69271517,0.6996752,0.6961768269538879,0.7561078,0.9747846126556396,214970.0,92272.0,8444757.0,95361.0
Adam,SFCE,1.0,0.5,0.4,0.001,50,0.2704212963581085,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,1.0,0.55,0.4,0.001,50,0.01999448612332344,0.9770697,0.67507595,0.67246485,0.6737678647041321,0.7422726,0.9718054533004761,209497.0,102039.0,8434990.0,100834.0
Adam,SFCE,1.0,0.6,0.4,0.001,50,0.02156979963183403,0.97935337,0.6589351,0.72690564,0.6912535429000854,0.7535224,0.9677225947380066,204488.0,76825.0,8460204.0,105843.0
Adam,SFCE,1.0,0.65,0.4,0.001,50,0.02410053089261055,0.9717315,0.6818204,0.5829713,0.6285330653190613,0.71466565,0.9606377482414246,211590.0,151361.0,8385668.0,98741.0
Adam,SFCE,1.0,0.7,0.4,0.001,50,0.019565105438232422,0.9746076,0.74619037,0.61348975,0.6733635067939758,0.7407491,0.9732153415679932,231566.0,145892.0,8391137.0,78765.0
Adam,SFCE,1.0,0.75,0.4,0.001,50,0.023485366255044937,0.97578555,0.7297402,0.63465565,0.678884744644165,0.7445109,0.9681335091590881,226461.0,130364.0,8406665.0,83870.0
Adam,SFCE,1.0,0.8,0.4,0.001,50,0.024676678702235222,0.97045153,0.7187745,0.56156045,0.6305152177810669,0.7150453,0.9612057209014893,223058.0,174153.0,8362876.0,87273.0
Adam,SFCE,1.0,0.85,0.4,0.001,50,0.0177380982786417,0.9599641,0.79967195,0.459385,0.583543598651886,0.6853915,0.969725489616394,248163.0,292044.0,8244985.0,62168.0
Adam,SFCE,1.0,0.9,0.4,0.001,50,0.022511808201670647,0.96125567,0.787398,0.46886382,0.5877475738525391,0.68816626,0.962775468826294,244354.0,276808.0,8260221.0,65977.0
Adam,SFCE,1.0,0.95,0.4,0.001,50,0.014396711252629757,0.9474896,0.8444886,0.38631377,0.5301218032836914,0.65327185,0.9673358201980591,262071.0,416318.0,8120711.0,48260.0
Adam,SFCE,1.0,1.0,0.4,0.001,50,0.0,0.03507611,1.0,0.03507611,0.0677749365568161,0.017538056,0.5,310331.0,8537029.0,0.0,0.0
Adam,SFCE,2.0,0.0,0.4,0.001,50,0.022777652367949486,0.97491616,0.6511499,0.63999695,0.6455252766609192,0.7254585,0.9725844264030457,202072.0,113667.0,8423362.0,108259.0
Adam,SFCE,2.0,0.05,0.4,0.001,50,0.0029082982800900936,0.9772359,0.39954436,0.8916816,0.551826536655426,0.6789812,0.9772114753723145,123991.0,15062.0,8521967.0,186340.0
Adam,SFCE,2.0,0.1,0.4,0.001,50,0.05408426746726036,0.96492386,0.0,0.0,0.0,0.482462,0.5,0.0,0.0,8537029.0,310331.0
Adam,SFCE,2.0,0.15,0.4,0.001,50,0.00603533536195755,0.9811382,0.6042806,0.8097021,0.6920697093009949,0.7549317,0.980615496635437,187527.0,44073.0,8492956.0,122804.0
Adam,SFCE,2.0,0.2,0.4,0.001,50,0.005347307771444321,0.98026824,0.61304545,0.7773528,0.6854907870292664,0.7506575,0.9813100695610046,190247.0,54490.0,8482539.0,120084.0
Adam,SFCE,2.0,0.25,0.4,0.001,50,0.007777240592986345,0.980697,0.6355762,0.7737047,0.6978712677955627,0.7581017,0.9795392155647278,197239.0,57689.0,8479340.0,113092.0
Adam,SFCE,2.0,0.3,0.4,0.001,50,0.008059280924499035,0.9796709,0.6688536,0.72917163,0.6977113485336304,0.75747025,0.9803598523139954,207566.0,77094.0,8459935.0,102765.0
Adam,SFCE,2.0,0.35,0.4,0.001,50,0.008880005218088627,0.9781005,0.66364944,0.69737303,0.6800934672355652,0.7464187,0.977791965007782,205951.0,89373.0,8447656.0,104380.0
Adam,SFCE,2.0,0.4,0.4,0.001,50,0.011729352176189423,0.9752612,0.61875546,0.6562957,0.6369730234146118,0.7210174,0.9686658382415771,192019.0,100561.0,8436468.0,118312.0
